AZIENDA;MATRICOLA;COGNOME;NOME;CODICE_FISCALE;FILIALE;EMAIL;DATA_ASSUNZIONE;DATA_DIMISSIONE;DATA_NASCITA;DESCR_COM_NASC;PROVINCIA_NASC;NUMERO_TELEFONO;CELLULARE;INTERNO;DIPARTIMENTO;TIPO_CONTRATTO;RES_INDIRIZZO;RES_CAP;RES_CITTA;RES_PROVINCIA;DOM_INDIRIZZO;DOM_CAP;DOM_CITTA;DOM_PROVINCIA
SADAS;1;DUZIONI;SURINDER;DZNSND39D15L400V;1;surinder.duzioni@sadasdb.com;25/05/1993;;24/02/1971;CERNUSCO SUL NAVIGLIO;MI;474576502;474576502;;Direzione;Indeterminato;VIA DE FEDERICI 2/A;24047;TREVIGLIO;BG;VIA DE FEDERICI 2/A;24047;TREVIGLIO;BG
SADAS;2;LOCATELLI;FABIO;LCTFBA45S25I627E;1;fabio.locatelli@sadasdb.com;25/05/1993;;24/11/1972;TRIESTE;TS;;;;Produzione;Indeterminato;VIA G.VERDI 38;24046;OSIO SOTTO;BG;VIA G.VERDI 38;24046;OSIO SOTTO;BG
SADAS;3;QUINTERI;ALESSANDRO;QNTLSN65H13Z129G;1;alessandro.quinteri@sadasdb.com;05/09/1991;;01/07/1962;VAILATE;CR;78475433;78475433;;Marketing;Indeterminato;PIAZZA DALLO` UGO 7;46043;CASTIGLIONE DELLE STIVIERE;MN;PIAZZA DALLO` UGO 7;46043;CASTIGLIONE DELLE STIVIERE;MN
SADAS;4;COLOMBO;GIUSEPPE;CLMGPP82S20A794Z;1;giuseppe.colombo@sadasdb.com;24/03/1992;;15/05/1969;ROMANO DI LOMBARDIA;BG;337168329;337168329;;Produzione;Indeterminato;VIA E.CARIONI 31;24040;MISANO DI GERA D` ADDA;BG;VIA E.CARIONI 31;24040;MISANO DI GERA D` ADDA;BG
SADAS;5;VERGANI;GIUSEPPE;VRGGPP81D05L454K;1;giuseppe.vergani@sadasdb.com;05/01/1995;;24/10/1963;ALBANIA;SE;80748768;80748768;;Produzione;Indeterminato;VIA F.MAGELLANO 1;24047;TREVIGLIO;BG;VIA F.MAGELLANO 1;24047;TREVIGLIO;BG
SADAS;6;ZERBONI;ALBERTICO JUDELCO;ZRBLRT80D26H351K;2;alberticojudelco.zerboni@sadasdb.com;24/08/1993;;12/10/1971;COLOGNO AL SERIO;BG;;;;Marketing;Indeterminato;VIA C.CERRETO 5/B;24047;TREVIGLIO;BG;VIA C.CERRETO 5/B;24047;TREVIGLIO;BG
SADAS;7;DE ANDRADE;MATTEO;DNDMTT39B22H357B;2;matteo.deandrade@sadasdb.com;01/01/1990;;16/02/1968;ALBANIA;SE;;;;Produzione;Indeterminato;VIA EMILIO BAUMANN 6;24040;CANONICA D` ADDA;BG;VIA EMILIO BAUMANN 6;24040;CANONICA D` ADDA;BG
SADAS;8;RESMINI;DANIELE;RSMDNL47L27G160A;1;daniele.resmini@sadasdb.com;19/07/1994;;05/09/1967;TREVIGLIO;BG;;;;Amministrazione;Indeterminato;VIA TRENTO 10;24047;TREVIGLIO;BG;VIA TRENTO 10;24047;TREVIGLIO;BG
SADAS;9;PEDRETTI;STEFANO;PDRSFN36E15B442J;1;stefano.pedretti@sadasdb.com;01/01/1990;;29/11/1961;LOCRI;RC;356308328;356308328;;Produzione;Indeterminato;VIA VESTURE 11;24040;CALVENZANO;BG;VIA VESTURE 11;24040;CALVENZANO;BG
SADAS;10;COLOMBARI;FEDERICO;CLMFRC72S21H509T;1;federico.colombari@sadasdb.com;07/12/1989;;25/11/1962;TREVIGLIO;BG;347930713;347930713;;Produzione;Determinato;CASELLA POSTALE APERTA 42;24047;TREVIGLIO;BG;CASELLA POSTALE APERTA 42;24047;TREVIGLIO;BG
SADAS;11;CERESOLI;ALESSANDRO;CRSLSN44B25H046V;3;alessandro.ceresoli@sadasdb.com;07/09/1992;;29/03/1965;ZAMBIA;SE;328081974;328081974;;Vendita;Indeterminato;VIA ALDO MORO 44;24040;ARCENE;BG;VIA ALDO MORO 44;24040;ARCENE;BG
SADAS;12;BREMBILLA;GIAMPIETRO;BRMGPT52H25L400B;2;giampietro.brembilla@sadasdb.com;01/01/1990;;30/04/1968;BERGAMO;BG;31482752;31482752;;Produzione;Indeterminato;CORSO ROMA;24068;SERIATE;BG;CORSO ROMA;24068;SERIATE;BG
SADAS;13;VOLPI;PIETRO;VLPPTR58H18F205V;1;pietro.volpi@sadasdb.com;03/04/1995;;27/07/1976;CERIGNOLA;FG;28868903;28868903;;CED;Indeterminato;VIA DANTE ALIGHIERI N 28;20062;CASSANO D` ADDA;MI;VIA DANTE ALIGHIERI N 28;20062;CASSANO D` ADDA;MI
SADAS;14;FIORENZA;ALDO;FRNLDA70A29L400A;1;aldo.fiorenza@sadasdb.com;12/11/1993;01/01/2006;14/01/1963;VODO CADORE;BL;58340615;58340615;;Produzione;Indeterminato;VIA G.PASCOLI 13;24047;TREVIGLIO;BG;VIA G.PASCOLI 13;24047;TREVIGLIO;BG
SADAS;15;RIGANTI;DENIS;RGNDNS89M25L400B;1;denis.riganti@sadasdb.com;01/01/1990;;11/05/1966;CATANIA;CT;;;;Produzione;Indeterminato;VIA DE GASPERI 36;26010;OFFANENGO;CR;VIA DE GASPERI 36;26010;OFFANENGO;CR
SADAS;16;RIVABENE;DEMIS;RVBDMS77P28Z112R;1;demis.rivabene@sadasdb.com;01/01/1990;;20/10/1960;CASTELLEONE;CR;354477125;354477125;;Produzione;Indeterminato;VIA C.MOZZI 2 PAL I;24045;FARA GERA D` ADDA;BG;VIA C.MOZZI 2 PAL I;24045;FARA GERA D` ADDA;BG
SADAS;17;PAOLINI;CLAUDIO;PLNCLD65E12L539W;2;claudio.paolini@sadasdb.com;18/05/1993;;18/06/1960;VAPRIO D` ADDA;MI;;;;Produzione;Indeterminato;VIA DON LORENZO MILANI 5;24047;TREVIGLIO;BG;VIA DON LORENZO MILANI 5;24047;TREVIGLIO;BG
SADAS;18;STUCCHI;ANGELO PASQUALE;STCNLP59C18L400G;2;angelopasquale.stucchi@sadasdb.com;02/08/1994;;30/09/1966;MILANO;MI;342817581;342817581;;Supporto Clienti;Indeterminato;VIA UGO FOSCOLO 9;24045;FARA GERA D` ADDA;BG;VIA UGO FOSCOLO 9;24045;FARA GERA D` ADDA;BG
SADAS;19;COLOMBO;LUCIANO DOMENICO;CLMLND78C20L845S;1;lucianodomenico.colombo@sadasdb.com;02/07/1993;;01/09/1963;TREVIGLIO;BG;393957631;393957631;;Produzione;Indeterminato;VIA MALJ TABAJANI 4;24121;BERGAMO;BG;VIA MALJ TABAJANI 4;24121;BERGAMO;BG
SADAS;20;GUSMINI;DEVID;GSMDVD79H03B442G;2;devid.gusmini@sadasdb.com;15/06/1995;;17/06/1971;TREVIGLIO;BG;324630440;324630440;;Produzione;Indeterminato;VIA ZAMBELLI N.17;26019;VAILATE;CR;VIA ZAMBELLI N.17;26019;VAILATE;CR
SADAS;21;LORENZI;STEFANO;LRNSFN48E07E514Z;1;stefano.lorenzi@sadasdb.com;04/05/1995;;01/11/1968;ARBOREA;OR;;;;Produzione;Indeterminato;VIA A.DE GASPERI 2;24040;CASTEL ROZZONE;BG;VIA A.DE GASPERI 2;24040;CASTEL ROZZONE;BG
